Feature,Importance
mfcc_mean_11,0.018187314
mfcc_var_11,0.012043178
spectral_centroid_mean,0.0120024085
mfcc_mean_12,0.011686951
mfcc_var_4,0.011406183
spectral_contrast_var,0.009504676
rms_mean,0.0076920986
mfcc_mean_6,0.00711897
rms_var,0.0070799887
mfcc_var_3,0.006386459
mfcc_mean_3,0.006066859
mfcc_mean_13,0.0049361587
mfcc_var_10,0.0048027635
spectral_rolloff_var,0.004750192
mfcc_var_6,0.004692793
mfcc_var_13,0.004638225
mfcc_mean_4,0.004501343
spectral_contrast_mean,0.004233122
mfcc_var_5,0.004132211
mfcc_var_8,0.003940046
spectral_centroid_var,0.0031245947
zcr_mean,0.0030782819
mfcc_mean_7,0.0028094351
mfcc_mean_10,0.0023095012
spectral_rolloff_mean,0.0019142628
mfcc_mean_5,0.0016067028
mfcc_mean_8,0.001462996
mfcc_mean_1,0.0012575984
mfcc_var_7,0.001169622
chroma_mean,0.0011448264
zcr_var,0.00079771876
mfcc_mean_9,0.0007456839
mfcc_var_2,0.00056639314
mfcc_var_9,0.0004478395
mfcc_mean_2,0.00032362342
chroma_var,0.00022491813
mfcc_var_1,4.4226646e-05
mfcc_var_12,2.4557114e-05
